url	property_type	city	price	bedroom_number	online	living_area	plot_surface	kitchen	terrace_surface	furnished	garden_surface	swimming_pool	frontage_number	building_condition	fireplace_number
https://www.immoweb.be/en/classified/house/for-sale/dampremy/6020/9680867	house	Dampremy	99999.0	2	False	104.0	70.0	1	0.0	False	12.0	False	2	0	0
https://www.immoweb.be/en/classified/house/for-sale/sint-lievens-houtem/9520/9702853	house	Sint-lievens-houtem	449000.0	3	False	223.0	670.0	3	0.0	False	0.0	False	4	1	0
https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/9707384	house	Anderlecht	240000.0	3	False	125.0	54.0	1	0.0	False	10.0	False	3	1	0
https://www.immoweb.be/en/classified/house/for-sale/leopoldsburg/3970/9701716	house	Leopoldsburg	399500.0	4	False	258.0	0.0	1	31.0	False	779.0	False	4	2	0
https://www.immoweb.be/en/classified/house/for-sale/puurs-sint-amands/2890/9686737	house	Puurs-sint-amands	259000.0	4	False	170.0	310.0	2	22.0	False	185.0	False	2	0	0
https://www.immoweb.be/en/classified/house/for-sale/willebroek/2830/9704536	house	Willebroek	379000.0	3	False	140.0	359.0	1	0.0	False	0.0	False	3	1	0
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/antwerp/2000/9682700	mixed-use-building	Antwerp	695000.0	2	False	385.0	228.0	1	100.0	False	0.0	False	2	2	0
https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/9694420	house	Woluwe-saint-lambert	550000.0	4	False	160.0	210.0	1	1.0	False	1.0	False	2	1	0
https://www.immoweb.be/en/classified/house/for-sale/nil-saint-vincent/1457/9675398	house	Nil-saint-vincent	275000.0	3	False	105.0	1276.0	0	0.0	False	0.0	False	4	0	0
https://www.immoweb.be/en/classified/country-cottage/for-sale/ghoy/7863/9697852	country-cottage	Ghoy	295000.0	2	False	120.0	2036.0	2	0.0	False	0.0	False	4	1	1
https://www.immoweb.be/en/classified/apartment-block/for-sale/wanze/4520/9679888	apartment-block	Wanze	399000.0	4	False	200.0	1255.0	1	15.0	False	834.0	False	2	1	0
https://www.immoweb.be/en/classified/mansion/for-sale/beveren-melsele/9120/9667028	mansion	Beveren-melsele	479000.0	3	False	289.0	500.0	2	40.0	False	365.0	False	2	1	0
https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/9690071	house	Aalst	235000.0	3	False	160.0	100.0	1	0.0	False	0.0	False	2	1	0
https://www.immoweb.be/en/classified/house/for-sale/lombardsijde/8434/9695810	house	Lombardsijde	135000.0	1	False	60.0	258.0	2	50.0	False	90.0	False	3	0	0
https://www.immoweb.be/en/classified/farmhouse/for-sale/grace-hollogne/4460/9668236	farmhouse	Grace-hollogne	310000.0	4	False	500.0	930.0	2	40.0	False	450.0	False	3	0	0
https://www.immoweb.be/en/classified/house/for-sale/lier/2500/9671409	house	Lier	249000.0	3	False	147.0	134.0	1	0.0	False	40.0	False	0	0	0
https://www.immoweb.be/en/classified/house/for-sale/bois-de-villers/5170/9548925	house	Bois-de-villers	295000.0	5	False	295.0	1324.0	2	150.0	False	0.0	False	4	0	3
https://www.immoweb.be/en/classified/villa/for-sale/knokke-heist/8300/9681703	villa	Knokke-heist	1350000.0	7	False	345.0	1475.0	3	0.0	False	1475.0	False	4	2	0
https://www.immoweb.be/en/classified/house/for-sale/chiny/6810/9690501	house	Chiny	140000.0	2	False	109.0	95.0	1	0.0	False	0.0	False	2	0	0
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/9690880	house	Ronse	598000.0	7	False	600.0	270.0	1	0.0	False	0.0	False	3	1	0
https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/9707646	house	Mechelen	495000.0	3	False	145.0	0.0	1	20.0	False	40.0	False	0	2	0
https://www.immoweb.be/en/classified/house/for-sale/zedelgem/8210/9697534	house	Zedelgem	365000.0	3	False	151.0	212.0	3	0.0	False	0.0	False	0	2	0
https://www.immoweb.be/en/classified/house/for-sale/beveren/8800/9698212	house	Beveren	280000.0	3	False	185.0	1010.0	2	0.0	False	0.0	False	0	1	0
https://www.immoweb.be/en/classified/house/for-sale/wervik/8940/9604686	house	Wervik	149000.0	2	False	150.0	186.0	1	0.0	False	0.0	False	0	1	0
https://www.immoweb.be/en/classified/house/for-sale/charleroi/6000/9681294	house	Charleroi	114000.0	2	False	109.0	110.0	2	0.0	False	0.0	False	3	0	0
https://www.immoweb.be/en/classified/house/for-sale/izegem/8870/9681292	house	Izegem	195000.0	3	False	176.0	510.0	1	12.0	False	400.0	False	4	1	0
https://www.immoweb.be/en/classified/house/for-sale/liege/4000/9661631	house	Liege	255000.0	3	False	130.0	0.0	1	8.0	False	0.0	False	2	2	0
https://www.immoweb.be/en/classified/house/for-sale/harelbeke/8530/9701895	house	Harelbeke	149000.0	3	False	100.0	65.0	1	0.0	False	0.0	False	2	1	0
https://www.immoweb.be/en/classified/house/for-sale/zwijndrecht/2070/9707768	house	Zwijndrecht	309000.0	3	False	144.0	124.0	1	0.0	False	45.0	False	2	1	0
https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/9694870	house	Mechelen	335000.0	2	False	100.0	60.0	3	0.0	False	16.0	False	0	2	0
https://www.immoweb.be/en/classified/house/for-sale/welle/9473/9678586	house	Welle	375000.0	3	False	211.0	480.0	1	0.0	False	480.0	False	4	1	0
